title,author,year,genre,copies,available_copies,waiting_list,is_popular
The Catcher in the Rye,J.D. Salinger,1951,Fiction,3,3,,false
To Kill a Mockingbird,Harper Lee,1960,Fiction,2,2,,false
1984,George Orwell,1949,Dystopian,5,5,,false
The Great Gatsby,F. Scott Fitzgerald,1925,Classic,4,4,,false
Moby Dick,Herman Melville,1851,Adventure,0,0,bigger,false
Pride and Prejudice,Jane Austen,1813,Romance,3,3,,false
War and Peace,Leo Tolstoy,1869,Historical Fiction,2,2,,false
Great Expectations,Charles Dickens,1861,Classic,3,3,,false
Crime and Punishment,Fyodor Dostoevsky,1866,Psychological Drama,1,1,,false
The Brothers Karamazov,Fyodor Dostoevsky,1880,Philosophy,3,3,,false
The Divine Comedy,Dante Alighieri,1320,Epic Poetry,1,1,,false
Jane Eyre,Charlotte Brontë,1847,Gothic Fiction,2,2,,false
Wuthering Heights,Emily Brontë,1847,Gothic Romance,4,4,,false
Anna Karenina,Leo Tolstoy,1877,Fiction,2,2,,false
Madame Bovary,Gustave Flaubert,1857,Realism,3,3,,false
The Iliad,Homer,-750,Epic Poetry,1,1,,false
The Sound and the Fury,William Faulkner,1929,Modernism,2,2,,false
Invisible Man,Ralph Ellison,1952,Fiction,1,1,,false
Beloved,Toni Morrison,1987,Historical Fiction,3,3,,false
Catch-22,Joseph Heller,1961,Satire,4,4,,false
Slaughterhouse-Five,Kurt Vonnegut,1969,Science Fiction,2,2,,false
Brave New World,Aldous Huxley,1932,Dystopian,5,5,,false
Heart of Darkness,Joseph Conrad,1899,Adventure,3,3,,false
The Grapes of Wrath,John Steinbeck,1939,Fiction,2,2,,false
Of Mice and Men,John Steinbeck,1937,Tragedy,1,1,,false
The Old Man and the Sea,Ernest Hemingway,1952,Fiction,3,3,,false
The Hobbit,J.R.R. Tolkien,1937,Fantasy,4,4,,false
The Lord of the Rings,J.R.R. Tolkien,1954,Fantasy,2,2,,false
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,Fantasy,7,7,,false
A Game of Thrones,George R.R. Martin,1996,Fantasy,5,5,,false
The Name of the Wind,Patrick Rothfuss,2007,Fantasy,3,3,,false
Mistborn: The Final Empire,Brandon Sanderson,2006,Fantasy,4,4,,false
The Handmaid's Tale,Margaret Atwood,1985,Dystopian,3,3,,false
The Odyssey,Homer,-800,Epic Poetry,2,2,,false
